place_id,id,name,lat,lng,rating,user_ratings_total,vicinity,types
ChIJjbOS9sMIAWARn4xC7JAw2iQ,186a7072378a8c944865f39961b4aecd74a0f755,Gion Karyo,35.0018011,135.7745123,4.3,154,"570-235 Gionmachi Minamigawa, Higashiyama Ward, Kyoto","['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJq6rWk-oIAWARfOJ7SmgxtFE,e2e59bed0e68d0980f19e267d27cc9ae89d05f32,Kyoto Gion Mikaku,35.00514,135.772649,4.4,159,"京都市東山区Higashiyama Ward, 常磐町165番地","['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJwfwekI0IAWARhG94Berdg8I,cfdd3e35fe19b0085a98acb67947709ce24bde00,245 GION,35.006387,135.775646,4.1,30,"245-1 Nakanocho, Higashiyama Ward, Kyoto","['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJLW-Fa-oIAWAR5UmRKeRFgTI,9e82d5f61a590fbe811405b43e51af59ef8108af,Nakatani,35.0059532,135.7744158,4.5,32,"Kyoto, Higashiyama Ward, 切り通し上る元吉町５１番地１","['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJb7Sw5ucIAWARhsJON824TXM,892f0bfdbfa5f59719f68f0d6bdbdb2c0984fd80,Tan,35.0089283,135.7808644,4.2,85,"106-13 Gokencho, Higashiyama Ward, Kyoto","['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJuxR_z9oIAWAR1TzuP0HVXk4,3b17ecc41a20a4b952e87d65b0bf1ee1465d44ca,Manjirō,35.00172,135.780131,4.4,199,"Kyoto, Higashiyama Ward, 高台寺北門前通下河原東入ル鷲尾町518","['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJVVXF5doIAWARUetIixOU-sw,0d8d616cce105e86b126cd92ddca703099ca6565,Kikunoi,35.0014754,135.7820562,4.4,281,"Kyoto, Higashiyama Ward, Shimokawaracho, 鳥居前下る下河原町459 Yasaka Dori","['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJ6dIeosEIAWARbIUcgTYJZ30,1eb70fd832f11d438a488b5ffcdb7d923686dbdc,Sushi Gion Matsudaya,35.003423,135.773716,4.7,79,"570-123 Gionmachi Minamigawa, Higashiyama Ward, Kyoto","['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJ8aS_iMYIAWARYqrEHEF8IjQ,879a19e588fe5ddf14a6260a2d1e107ddb7735c9,Tempura Endo Yasaka,34.9989587,135.7751241,4.4,612,"Kyoto, Komatsucho, ５６６ 八坂通","['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJI-P4dpwIAWAR__cHhdAO5-E,eed653866e6a025ab907497c723a376ba2c1ad49,HANA-Kitcho,35.003462,135.772765,4.3,44,"3-2 Yamatocho, Higashiyama Ward, Kyoto","['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJHe1E2MMIAWARN3MsAJC6NhM,19abc3bdc60359ce904d22df60125935f2917b95,Premium Pound Gion,35.0029474,135.775664,4.5,41,"570-15 Gionmachi Minamigawa, Higashiyama Ward, Kyoto","['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJ1U7cN8AIAWARhsp2Q0XDoFk,c1c99fa6d5738f5feb7bbeacb477079194407c84,Kobe Beef Steak Mouriya Gion,35.0033404,135.7728923,4.7,102,"Kyoto, Higashiyama Ward, Yamatocho, ７−１ 祇園モーリヤビル１と２階","['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJq6ru5eoIAWARw6WTKl6-0Ho,5243a83e498f6a86b9cc7fcdd14a185e83273b1e,Kyoto Kaiseki Yakiniku (BBQ) HIRO Gion Yamana-an,35.0059164,135.772617,4.2,195,"16 Benzaitencho, Higashiyama Ward, Kyoto","['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJXZAzFMEIAWARlY4cMKMnJ8A,f9609031ecee5095bcfa1d94d2b4e6cd8300651b,Uokeya U,35.0020619,135.7743841,3.9,420,"Kyoto, Higashiyama Ward, 祇園西 四条下ル 花見小路","['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJq7L-wMEIAWARcD7fxqE5AV0,92cc3fd0ef9dcc4b6f8093902b91d295fd0c97d9,Gion Okumura,35.004141,135.774411,4.1,116,"255 Gionmachi Kitagawa, Higashiyama Ward, Kyoto","['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJJUkcc8EIAWAR8hUNYiIp3Wc,bd851143d429c67675c2bed5e34040c79712aea6,Tsudaro,35.0022421,135.7746738,4.5,53,"Kyoto, Higashiyama Ward, 四条下ル 祇園町南側５７０−１２１","['bar', 'home_goods_store', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']"
ChIJVcb5ecQIAWAR6Vbuz4oHv28,31e86021f4cbf7d43c72199ef93cd36cad5cc7be,Sopporo Kaniya Kyoto,35.00191300000001,135.77721,3.8,414,"Kyoto, Higashiyama Ward, Tsukimicho, ２","['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJnds0DdsIAWARE0dXPUqNYkc,fa2e2e831a664d13b192a735b0ee375b62525fbd,Mizai,35.0029792,135.7823524,4.2,78,"Kyoto, Higashiyama Ward, 八坂鳥居前東入円山町618","['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJNdtJJO8IAWAROLakASqxLBM,f7abddb617f8948778fafc71e0f9e55ef5d6e109,Kodaiji Wakuden,35.001752,135.7797409,4.6,61,"Kyoto, Higashiyama Ward, 高台寺北門前鷲尾町512","['restaurant', 'food', 'point_of_interest', 'establishment']"
